x,y,z,Yaw,Roll,Pitch,Data Size,Frame Rate
2,113,951,-10,55,76,1363,7.419779
2,115,955,5,-64,80,1289,5.743606
2,113,952,-9,60,75,1290,5.940083
1,112,952,-17,42,75,1322,6.475453
2,114,951,-10,54,76,1243,5.980239
3,115,954,-10,50,79,1283,5.673732
2,116,952,-11,51,77,1093,5.978904
0,112,953,1,-85,76,1239,4.522893
2,113,951,-12,49,76,1362,5.436247
3,115,952,-4,69,79,1195,5.903177
7,116,954,-13,44,78,1240,6.729684
4,113,954,-14,43,77,1291,5.777307
2,114,952,-9,54,78,1191,4.921804
5,116,953,-11,48,78,1246,5.456840
4,114,952,-6,66,77,1275,7.053258
3,113,953,-6,65,78,1317,5.812604
1,113,952,-11,49,77,1289,5.904966
2,114,954,1,-83,79,1268,5.059578
3,114,953,-7,60,77,1271,7.018293
3,114,953,-10,59,73,1262,5.450790
3,113,954,-11,56,73,1343,4.554743
4,112,952,-5,68,77,1332,5.969330
3,114,952,-11,52,76,1276,5.803665
3,112,951,-10,57,75,1343,5.035627
1,111,953,-14,45,76,1305,6.332753
2,112,952,-12,49,76,1315,5.398105
1,113,953,-16,42,76,1253,4.635184
1,112,953,-10,53,76,1310,5.001633
5,116,960,-11,51,77,1211,5.912491
3,113,952,-14,43,77,1281,5.876812
2,112,955,-13,44,78,1313,4.391289
1,112,956,-1,85,76,1319,4.608654
3,113,955,-21,34,75,1317,4.838053
3,112,954,-14,44,77,1323,3.348217
2,113,953,-13,46,77,1348,6.076499
4,113,957,-12,49,76,1322,5.980122
1,113,955,-6,64,78,1351,4.594390
1,113,952,-11,46,79,1354,4.726246
0,111,943,-4,66,80,1150,5.293810
-1,108,933,-25,31,75,1262,5.878166
2,105,926,-19,32,78,1392,2.913413
1,105,910,7,-59,79,1088,3.821278
5,100,896,-10,39,82,1392,7.255107
6,98,885,-3,50,86,1536,5.519922
6,99,873,-4,53,84,1147,5.715274
7,96,867,-8,45,82,1361,5.850267
6,92,858,1,-85,79,1463,5.380044
7,97,857,-4,79,68,1542,6.084347
4,95,836,-4,68,81,1304,6.643972
8,92,829,-13,50,74,1486,5.991840
5,93,817,-14,42,77,1461,5.263444
7,90,808,-25,35,72,1642,5.417451
9,83,781,-21,33,76,1406,1.793053
8,86,764,-10,51,77,1419,5.838172
11,82,754,-5,65,79,1267,5.428798
12,87,757,-2,86,57,1288,5.613539
11,79,726,-9,55,77,1312,2.611939
10,79,721,-12,65,66,1425,6.092007
11,83,709,-8,73,65,1208,6.402304
10,80,695,-7,57,80,1283,5.974288
7,79,692,8,-71,68,1290,5.463600
4,74,681,11,-66,67,1315,5.228586
4,76,676,4,-83,59,1169,5.505277
5,72,671,2,-88,51,1392,5.912132
8,69,647,2,-87,56,1224,2.844301
7,71,635,-18,47,70,1207,5.021953
8,68,630,-4,85,53,1286,5.298561
7,69,624,6,-84,42,1358,5.383828
11,64,615,-1,89,50,1343,5.517861
10,73,623,17,-79,33,1559,3.677448
14,66,593,-16,75,44,1404,4.850578
9,70,595,-14,82,31,1747,5.976270
10,66,579,-12,79,42,1267,5.646590
12,63,568,-9,79,49,1381,6.158201
11,60,555,-14,67,59,1310,5.717439
8,67,561,29,-71,31,1880,6.565179
10,67,553,12,-84,28,1813,4.551001
11,63,531,-29,68,36,1440,5.500064
12,59,519,-8,83,40,1238,5.932274
9,67,530,-3,88,27,1633,6.103856
10,72,533,12,-85,25,1694,5.875169
12,59,492,4,-87,31,1233,3.934242
11,62,480,-16,80,31,1207,5.560619
13,61,474,-2,89,30,1190,5.386426
10,63,481,26,-76,27,1231,5.318478
13,57,468,-17,81,27,1121,4.691119
10,67,473,8,-86,25,1171,5.421233
9,68,474,-17,82,23,1534,5.316790
